name,price,originalPrice,category,subcategory,brand,description,mainImage,images,rating,reviews,weight,simpleFlavors,variants,featured,trending,bestSeller,lovedByExperts,onSale,shopByGoal,nutritionInfo,ingredients,certifications,nutritionImage,slug
KEVIN LEVRONE Gold Whey,3399,3899,SPORTS NUTRITION,Proteins,KEVIN LEVRONE,Premium whey protein,https://yourwebsite.com/products/kevin-levrone-gold-whey/main.jpg,"https://yourwebsite.com/products/kevin-levrone-gold-whey/main.jpg",4.4,170,2kg,"Chocolate,Vanilla,Strawberry",{},TRUE,FALSE,FALSE,TRUE,FALSE,MUSCLE_GAIN,"Per serving (30g): 23g Protein, 113 Calories","Whey Protein Concentrate, Whey Protein Isolate",FDA Approved,,kevin-levrone-gold-whey
RONNIE COLEMAN Signature,3799,4299,SPORTS NUTRITION,Proteins,RONNIE COLEMAN,King whey protein,https://yourwebsite.com/products/ronnie-coleman-signature/main.jpg,"https://yourwebsite.com/products/ronnie-coleman-signature/main.jpg",4.6,210,2.27kg,"Chocolate Fudge,Vanilla",{},TRUE,TRUE,TRUE,TRUE,FALSE,MUSCLE_GAIN,"Per serving (34g): 30g Protein, 130 Calories","Whey Protein Isolate, Whey Protein Concentrate",Quality Tested,,ronnie-coleman-signature
APPLIED NUTRITION ABE,2699,3199,SPORTS NUTRITION,Pre/Post Workout,APPLIED NUTRITION,All black everything pre-workout,https://yourwebsite.com/products/applied-nutrition-abe/main.jpg,"https://yourwebsite.com/products/applied-nutrition-abe/main.jpg",4.4,175,315g,"Bubblegum,Cherry Cola",{},TRUE,FALSE,TRUE,TRUE,FALSE,ENERGY_PERFORMANCE,"Per serving (10.5g): 200mg Caffeine, 6g Citrulline","Citrulline Malate, Beta-Alanine, Caffeine",NSF Certified,,applied-nutrition-abe
RYSE Mass Gainer,3899,4399,SPORTS NUTRITION,Gainers,RYSE,Premium mass gainer,https://yourwebsite.com/products/ryse-mass-gainer/main.jpg,"https://yourwebsite.com/products/ryse-mass-gainer/main.jpg",4.2,125,5kg,"Chocolate Fudge,Vanilla",{},TRUE,FALSE,FALSE,FALSE,TRUE,MUSCLE_GAIN,"Per serving (150g): 40g Protein, 750 Calories","Whey Protein Blend, Oat Flour, MCT Oil",Quality Tested,,ryse-mass-gainer
ULTIMATE NUTRITION Protein,2899,3399,SPORTS NUTRITION,Proteins,ULTIMATE NUTRITION,Pure whey protein stack,https://yourwebsite.com/products/ultimate-nutrition-protein/main.jpg,"https://yourwebsite.com/products/ultimate-nutrition-protein/main.jpg",4.3,150,2.2kg,"Chocolate,Vanilla,Banana",{},FALSE,TRUE,TRUE,FALSE,FALSE,MUSCLE_GAIN,"Per serving (32g): 22g Protein, 110 Calories","Whey Protein Concentrate, Natural Flavors",Quality Tested,,ultimate-nutrition-protein
MHP Mass Gainer,4299,4899,SPORTS NUTRITION,Gainers,MHP,Mega mass 4000 gainer,https://yourwebsite.com/products/mhp-mass-gainer/main.jpg,"https://yourwebsite.com/products/mhp-mass-gainer/main.jpg",4.0,95,4.5kg,"Chocolate,Vanilla",{},FALSE,FALSE,TRUE,TRUE,TRUE,MUSCLE_GAIN,"Per serving (145g): 60g Protein, 600 Calories","Whey Protein, Casein Protein, Egg Protein",FDA Approved,,mhp-mass-gainer
NUTREX Lipo-6 Black,2799,3299,VITAMINS & SUPPLEMENTS,Fat Burners,NUTREX,Ultra concentrate fat burner,https://yourwebsite.com/products/nutrex-lipo-6-black/main.jpg,"https://yourwebsite.com/products/nutrex-lipo-6-black/main.jpg",4.1,125,60 capsules,,{},FALSE,FALSE,TRUE,TRUE,TRUE,WEIGHT_LOSS,"Per capsule: 420mg Proprietary Blend","Caffeine Anhydrous, Yohimbine HCl",FDA Approved,,nutrex-lipo-6-black
NOW Multivitamin,899,1199,VITAMINS & SUPPLEMENTS,Multivitamins,NOW,Complete multivitamin,https://yourwebsite.com/products/now-multivitamin/main.jpg,"https://yourwebsite.com/products/now-multivitamin/main.jpg",4.3,175,100 tablets,,{},TRUE,FALSE,TRUE,FALSE,FALSE,HEALTH_WELLNESS,"Per tablet: 23 Essential Vitamins & Minerals","Vitamin A, C, D, E, B-Complex, Iron",FDA Approved,,now-multivitamin
CENTRUM Multivitamin,799,999,VITAMINS & SUPPLEMENTS,Multivitamins,CENTRUM,Daily multivitamin,https://yourwebsite.com/products/centrum-multivitamin/main.jpg,"https://yourwebsite.com/products/centrum-multivitamin/main.jpg",4.4,200,100 tablets,,{},FALSE,TRUE,FALSE,TRUE,FALSE,HEALTH_WELLNESS,"Per tablet: 24 Key Nutrients, Antioxidants","Multivitamin & Multimineral Complex",Quality Tested,,centrum-multivitamin
GNC Omega-3,1299,1599,VITAMINS & SUPPLEMENTS,Omega Fatty Acids,GNC,Ultra omega-3 fish oil,https://yourwebsite.com/products/gnc-omega-3/main.jpg,"https://yourwebsite.com/products/gnc-omega-3/main.jpg",4.4,170,90 softgels,,{},FALSE,TRUE,TRUE,FALSE,FALSE,HEALTH_WELLNESS,"Per softgel: 1000mg Fish Oil, 300mg EPA","Molecularly Distilled Fish Oil",FDA Approved,,gnc-omega-3
TATA 1MG Fish Oil,1499,1799,VITAMINS & SUPPLEMENTS,Omega Fatty Acids,TATA 1MG,Super omega-3 gems,https://yourwebsite.com/products/tata-1mg-fish-oil/main.jpg,"https://yourwebsite.com/products/tata-1mg-fish-oil/main.jpg",4.5,190,100 softgels,,{},TRUE,TRUE,TRUE,TRUE,FALSE,HEALTH_WELLNESS,"Per softgel: 1000mg Fish Oil, 600mg EPA+DHA","Norwegian Fish Oil, Vitamin E",Quality Tested,,tata-1mg-fish-oil
HEALTHYHEY NUTRITION Omega,1699,1999,VITAMINS & SUPPLEMENTS,Omega Fatty Acids,HEALTHYHEY NUTRITION,Omega-3 fish oil supplement,https://yourwebsite.com/products/healthyhey-nutrition-omega/main.jpg,"https://yourwebsite.com/products/healthyhey-nutrition-omega/main.jpg",4.2,145,454ml,"Mango Peach,Key Lime",{},FALSE,FALSE,FALSE,TRUE,TRUE,HEALTH_WELLNESS,"Per serving (15ml): 1500mg Omega-3","Ultra-Pure Fish Oil, Natural Flavors",Organic Certified,,healthyhey-nutrition-omega
CUREGARDEN Boswellia,1199,1499,AYURVEDA & HERBS,Vital Herbs,CUREGARDEN,Boswellia serrata extract,https://yourwebsite.com/products/curegarden-boswellia/main.jpg,"https://yourwebsite.com/products/curegarden-boswellia/main.jpg",4.1,125,90 capsules,,{},TRUE,FALSE,TRUE,FALSE,FALSE,HEALTH_WELLNESS,"Per capsule: 400mg Boswellia Extract","Boswellia Serrata Gum Extract",Ayurvedic Certified,,curegarden-boswellia
MIDUTY Guggul,999,1299,AYURVEDA & HERBS,Herbs for Weight Loss,MIDUTY,Commiphora mukul extract,https://yourwebsite.com/products/miduty-guggul/main.jpg,"https://yourwebsite.com/products/miduty-guggul/main.jpg",4.0,110,60 capsules,,{},FALSE,TRUE,FALSE,TRUE,TRUE,WEIGHT_LOSS,"Per capsule: 500mg Guggul Extract","Commiphora Mukul Gum Extract",Quality Tested,,miduty-guggul
WHATS UP WELLNESS Fenugreek,899,1199,AYURVEDA & HERBS,Vital Herbs,WHATS UP WELLNESS,Trigonella foenum-graecum,https://yourwebsite.com/products/whats-up-wellness-fenugreek/main.jpg,"https://yourwebsite.com/products/whats-up-wellness-fenugreek/main.jpg",4.2,135,90 capsules,,{},TRUE,FALSE,FALSE,FALSE,FALSE,HEALTH_WELLNESS,"Per capsule: 500mg Fenugreek Seed Extract","Fenugreek Seed Extract, Vegetable Capsule",Organic Certified,,whats-up-wellness-fenugreek
CARBAMIDE FORTE Bitter Melon,1099,1399,AYURVEDA & HERBS,Herbs for Weight Loss,CARBAMIDE FORTE,Momordica charantia extract,https://yourwebsite.com/products/carbamide-forte-bitter-melon/main.jpg,"https://yourwebsite.com/products/carbamide-forte-bitter-melon/main.jpg",3.9,95,60 capsules,,{},FALSE,FALSE,TRUE,TRUE,FALSE,WEIGHT_LOSS,"Per capsule: 500mg Bitter Melon Extract","Bitter Melon Fruit Extract",Ayurvedic Certified,,carbamide-forte-bitter-melon
BEAUTYWISE Gymnema,1299,1599,AYURVEDA & HERBS,Herbs for Weight Loss,BEAUTYWISE,Sugar destroyer herb,https://yourwebsite.com/products/beautywise-gymnema/main.jpg,"https://yourwebsite.com/products/beautywise-gymnema/main.jpg",4.1,120,90 capsules,,{},TRUE,TRUE,FALSE,FALSE,TRUE,WEIGHT_LOSS,"Per capsule: 400mg Gymnema Extract","Gymnema Sylvestre Leaf Extract",Quality Tested,,beautywise-gymnema
NATUREYZ Cinnamon,799,999,AYURVEDA & HERBS,Vital Herbs,NATUREYZ,Ceylon cinnamon extract,https://yourwebsite.com/products/natureyz-cinnamon/main.jpg,"https://yourwebsite.com/products/natureyz-cinnamon/main.jpg",4.3,155,60 capsules,,{},FALSE,FALSE,TRUE,TRUE,FALSE,HEALTH_WELLNESS,"Per capsule: 500mg Ceylon Cinnamon","Ceylon Cinnamon Bark Extract",Organic Certified,,natureyz-cinnamon
MYFITNESS Protein Bar,199,249,HEALTH FOOD & DRINKS,Weight Loss Foods,MYFITNESS,High-protein low-carb bar,https://yourwebsite.com/products/myfitness-protein-bar/main.jpg,"https://yourwebsite.com/products/myfitness-protein-bar/main.jpg",4.3,200,60g,"Chocolate Chip,Cookies & Cream",{},TRUE,FALSE,TRUE,FALSE,FALSE,MUSCLE_GAIN,"Per bar: 20g Protein, 4g Net Carbs","Whey Protein Isolate, Almonds",Quality Certified,,myfitness-protein-bar
YOGABAR Protein Bar,249,299,HEALTH FOOD & DRINKS,Weight Loss Foods,YOGABAR,Low carb protein bar,https://yourwebsite.com/products/yogabar-protein-bar/main.jpg,"https://yourwebsite.com/products/yogabar-protein-bar/main.jpg",4.2,180,60g,"Chocolate Chip,Peanut Butter",{},FALSE,TRUE,TRUE,FALSE,FALSE,WEIGHT_LOSS,"Per bar: 16g Protein, 2g Net Carbs","Soy Protein Isolate, Almonds",Quality Tested,,yogabar-protein-bar
THE WHOLE TRUTH NUTRITION Shake,299,399,HEALTH FOOD & DRINKS,Weight Loss Foods,THE WHOLE TRUTH NUTRITION,Meal replacement shake,https://yourwebsite.com/products/the-whole-truth-nutrition-shake/main.jpg,"https://yourwebsite.com/products/the-whole-truth-nutrition-shake/main.jpg",4.1,160,325ml,"Chocolate,Vanilla,Strawberry",{},TRUE,TRUE,FALSE,FALSE,FALSE,WEIGHT_LOSS,"Per shake: 10g Protein, 180 Calories","Milk Protein, Soy Protein",FDA Approved,,the-whole-truth-nutrition-shake
WELLBEING Formula 1,1999,2399,HEALTH FOOD & DRINKS,Weight Loss Foods,WELLBEING,Nutritional shake mix,https://yourwebsite.com/products/wellbeing-formula-1/main.jpg,"https://yourwebsite.com/products/wellbeing-formula-1/main.jpg",4.3,195,550g,"Vanilla,Chocolate,Berry",{},FALSE,FALSE,TRUE,TRUE,TRUE,WEIGHT_LOSS,"Per serving (25g): 9g Protein, 90 Calories","Soy Protein Isolate, Fructose",Quality Tested,,wellbeing-formula-1
NEUHERBS Special K,399,499,HEALTH FOOD & DRINKS,Weight Loss Foods,NEUHERBS,Protein shake,https://yourwebsite.com/products/neuherbs-special-k/main.jpg,"https://yourwebsite.com/products/neuherbs-special-k/main.jpg",4.0,140,325ml,"Chocolate,Vanilla",{},TRUE,FALSE,FALSE,FALSE,FALSE,WEIGHT_LOSS,"Per shake: 10g Protein, 190 Calories","Milk Protein Concentrate, Soy Protein",FDA Approved,,neuherbs-special-k
NAKPRO Essentials,199,249,HEALTH FOOD & DRINKS,Health Juices,NAKPRO,Probiotic juice,https://yourwebsite.com/products/nakpro-essentials/main.jpg,"https://yourwebsite.com/products/nakpro-essentials/main.jpg",4.2,165,1L,"Orange,Mixed Berry",{},FALSE,TRUE,TRUE,TRUE,FALSE,HEALTH_WELLNESS,"Per serving (240ml): 1 Billion Probiotics","Orange Juice, Probiotic Cultures",Quality Tested,,nakpro-essentials
ALPINO Fruit Juice,149,199,HEALTH FOOD & DRINKS,Health Juices,ALPINO,100% fruit juice,https://yourwebsite.com/products/alpino-fruit-juice/main.jpg,"https://yourwebsite.com/products/alpino-fruit-juice/main.jpg",4.1,150,1L,"Orange,Apple,Mixed Fruit",{},TRUE,FALSE,FALSE,FALSE,TRUE,HEALTH_WELLNESS,"Per serving (200ml): 100% Fruit Juice","Fruit Juice Concentrate, Natural Flavors",Quality Tested,,alpino-fruit-juice
AS-IT-IS Drinks,99,149,HEALTH FOOD & DRINKS,Health Juices,AS-IT-IS,Traditional Indian drinks,https://yourwebsite.com/products/as-it-is-drinks/main.jpg,"https://yourwebsite.com/products/as-it-is-drinks/main.jpg",4.0,120,250ml,"Aam Panna,Jaljeera,Kokum",{},FALSE,FALSE,TRUE,FALSE,FALSE,HEALTH_WELLNESS,"Per bottle: Traditional Recipe","Water, Sugar, Natural Extracts",Quality Tested,,as-it-is-drinks
FAST AND UP Heart Rate Monitor,4999,5999,FITNESS,Fitness Trackers,FAST AND UP,Advanced heart rate monitor,https://yourwebsite.com/products/fast-and-up-heart-rate-monitor/main.jpg,"https://yourwebsite.com/products/fast-and-up-heart-rate-monitor/main.jpg",4.4,185,1 piece,,{},TRUE,FALSE,TRUE,TRUE,FALSE,ENERGY_PERFORMANCE,"GPS, Heart Rate Zones, Training Load","Electronic Components, Silicone Strap",Tech Certified,,fast-and-up-heart-rate-monitor
BOLT Sports Watch,8999,10999,FITNESS,Fitness Trackers,BOLT,Multi-sport GPS watch,https://yourwebsite.com/products/bolt-sports-watch/main.jpg,"https://yourwebsite.com/products/bolt-sports-watch/main.jpg",4.5,160,1 piece,,{},FALSE,TRUE,TRUE,TRUE,TRUE,ENERGY_PERFORMANCE,"80+ Sport Modes, GPS, Barometric Altitude","Titanium Case, Sapphire Crystal",Tech Certified,,bolt-sports-watch
BPI Fitness Tracker,6999,7999,FITNESS,Fitness Trackers,BPI,G-Shock fitness tracker,https://yourwebsite.com/products/bpi-fitness-tracker/main.jpg,"https://yourwebsite.com/products/bpi-fitness-tracker/main.jpg",4.3,175,1 piece,,{},TRUE,TRUE,FALSE,FALSE,FALSE,ENERGY_PERFORMANCE,"Shock Resistant, Step Counter","Resin Case, Mineral Glass",Quality Tested,,bpi-fitness-tracker
BEAST LIFE Dumbbells,34999,39999,FITNESS,Gym Accessories,BEAST LIFE,Adjustable dumbbell set,https://yourwebsite.com/products/beast-life-dumbbells/main.jpg,"https://yourwebsite.com/products/beast-life-dumbbells/main.jpg",4.6,140,22kg pair,,{},FALSE,FALSE,TRUE,TRUE,TRUE,ENERGY_PERFORMANCE,"Quick Weight Changes, Expandable to 41kg","Steel Construction, Urethane Coating",Quality Tested,,beast-life-dumbbells
GAT Pull-up Bar,1999,2499,FITNESS,Gym Accessories,GAT,Total upper body workout bar,https://yourwebsite.com/products/gat-pull-up-bar/main.jpg,"https://yourwebsite.com/products/gat-pull-up-bar/main.jpg",4.2,190,1 piece,,{},TRUE,FALSE,FALSE,FALSE,FALSE,ENERGY_PERFORMANCE,"3 Grip Positions, No Screws Required","Steel Construction, Foam Grips",Quality Tested,,gat-pull-up-bar
ISOPURE Pushup Handles,1299,1599,FITNESS,Gym Accessories,ISOPURE,Rotating pushup handles,https://yourwebsite.com/products/isopure-pushup-handles/main.jpg,"https://yourwebsite.com/products/isopure-pushup-handles/main.jpg",4.1,155,1 pair,,{},FALSE,TRUE,TRUE,FALSE,FALSE,ENERGY_PERFORMANCE,"Rotating Handles, Reduces Wrist Strain","Steel Base, Rubber Grips",Quality Tested,,isopure-pushup-handles
KAGED Ab Wheel,899,1199,FITNESS,Gym Accessories,KAGED,Ab roller wheel,https://yourwebsite.com/products/kaged-ab-wheel/main.jpg,"https://yourwebsite.com/products/kaged-ab-wheel/main.jpg",4.0,145,1 piece,,{},TRUE,FALSE,FALSE,TRUE,TRUE,ENERGY_PERFORMANCE,"Dual Wheels, Knee Pad Included","Steel Frame, Rubber Wheels",Quality Tested,,kaged-ab-wheel
INTERNATIONAL PROTEIN Cleanser,1299,1599,WELLNESS,Skin Care,INTERNATIONAL PROTEIN,Toleriane caring wash,https://yourwebsite.com/products/international-protein-cleanser/main.jpg,"https://yourwebsite.com/products/international-protein-cleanser/main.jpg",4.5,200,200ml,,{},FALSE,TRUE,TRUE,TRUE,FALSE,HEALTH_WELLNESS,"Gentle Cleanser, Sensitive Skin","Thermal Spring Water, Glycerin",Dermatologist Tested,,international-protein-cleanser
HEALTH FARM Serum,2199,2599,WELLNESS,Skin Care,HEALTH FARM,Mineral 89 hyaluronic acid,https://yourwebsite.com/products/health-farm-serum/main.jpg,"https://yourwebsite.com/products/health-farm-serum/main.jpg",4.4,185,50ml,,{},TRUE,FALSE,FALSE,FALSE,TRUE,HEALTH_WELLNESS,"89% Thermal Water, Hyaluronic Acid","Thermal Water, Hyaluronic Acid",Dermatologist Tested,,health-farm-serum
MUSCLE BLAZE Thermal Water,899,1199,WELLNESS,Skin Care,MUSCLE BLAZE,Thermal spring water spray,https://yourwebsite.com/products/muscle-blaze-thermal-water/main.jpg,"https://yourwebsite.com/products/muscle-blaze-thermal-water/main.jpg",4.3,170,300ml,,{},FALSE,FALSE,TRUE,TRUE,FALSE,HEALTH_WELLNESS,"100% Sterile Thermal Spring Water","Thermal Spring Water",Quality Tested,,muscle-blaze-thermal-water
MYFITNESS PEANUT BUTTER Face Cream,1599,1899,WELLNESS,Skin Care,MYFITNESS PEANUT BUTTER,Daily face cream,https://yourwebsite.com/products/myfitness-peanut-butter-face-cream/main.jpg,"https://yourwebsite.com/products/myfitness-peanut-butter-face-cream/main.jpg",4.2,155,50ml,,{},TRUE,TRUE,FALSE,FALSE,FALSE,HEALTH_WELLNESS,"Hyaluronic Acid, SPF 15, Anti-Aging","Hyaluronic Acid, Glycerin",Dermatologist Tested,,myfitness-peanut-butter-face-cream
POLE NUTRITION Men Shampoo,399,499,WELLNESS,Hair Care,POLE NUTRITION,Men strong power shampoo,https://yourwebsite.com/products/pole-nutrition-men-shampoo/main.jpg,"https://yourwebsite.com/products/pole-nutrition-men-shampoo/main.jpg",4.1,180,400ml,,{},FALSE,FALSE,TRUE,FALSE,TRUE,HEALTH_WELLNESS,"Strengthens Hair, Reduces Hair Fall","Bamboo Extract, Caffeine, Menthol",Quality Tested,,pole-nutrition-men-shampoo
PINTOLA Shampoo,299,399,WELLNESS,Hair Care,PINTOLA,Anti-dandruff shampoo,https://yourwebsite.com/products/pintola-shampoo/main.jpg,"https://yourwebsite.com/products/pintola-shampoo/main.jpg",4.3,220,340ml,"Classic Clean,Smooth & Silky",{},TRUE,TRUE,TRUE,FALSE,FALSE,HEALTH_WELLNESS,"Zinc Pyrithione, Anti-Dandruff Formula","Zinc Pyrithione, Sodium Lauryl Sulfate",FDA Approved,,pintola-shampoo
RAW NUTRITION Hair Mask,599,799,WELLNESS,Hair Care,RAW NUTRITION,Pro-V hair mask,https://yourwebsite.com/products/raw-nutrition-hair-mask/main.jpg,"https://yourwebsite.com/products/raw-nutrition-hair-mask/main.jpg",4.2,165,300ml,"Repair & Protect,Smooth & Sleek",{},FALSE,TRUE,FALSE,TRUE,FALSE,HEALTH_WELLNESS,"Pro-Vitamin B5, Intensive Repair","Panthenol, Histidine, Vitamin E",Quality Tested,,raw-nutrition-hair-mask
XTEND Hair Serum,799,999,WELLNESS,Hair Care,XTEND,Extraordinary oil serum,https://yourwebsite.com/products/xtend-hair-serum/main.jpg,"https://yourwebsite.com/products/xtend-hair-serum/main.jpg",4.4,190,100ml,,{},TRUE,FALSE,TRUE,TRUE,TRUE,HEALTH_WELLNESS,"6 Rare Flower Oils, Nourishing Formula","Rose, Chamomile, Tiare, Lotus Oils",Quality Tested,,xtend-hair-serum
RANBDS Hair Conditioner,699,899,WELLNESS,Hair Care,RANBDS,Biolage conditioner,https://yourwebsite.com/products/ranbds-hair-conditioner/main.jpg,"https://yourwebsite.com/products/ranbds-hair-conditioner/main.jpg",4.1,145,400ml,"Hydra Source,Color Last",{},FALSE,FALSE,FALSE,FALSE,FALSE,HEALTH_WELLNESS,"Aloe Leaf Extract, Moisturizing Formula","Aloe Barbadensis Leaf Juice, Glycerin",Professional Grade,,ranbds-hair-conditioner
